,position,name,playedMatch,won,drawn,lost,goalsFor,goalsAgainst,goalDifference,points
0,1,Manchester City,36,26,5,5,76,29,47,83
1,2,Manchester United,36,20,10,6,70,42,28,70
2,3,Leicester City,36,20,6,10,65,44,21,66
3,4,Chelsea,36,18,10,8,55,33,22,64
4,5,Liverpool,36,18,9,9,63,42,21,63
5,6,Tottenham Hotspur,36,17,8,11,63,41,22,59
6,7,West Ham United,36,17,8,11,56,46,10,59
7,8,Everton,36,16,8,12,46,43,3,56
8,9,Arsenal,36,16,7,13,50,38,12,55
9,10,Leeds United,36,16,5,15,57,53,4,53
10,11,Aston Villa,36,14,7,15,51,44,7,49
11,12,Wolverhampton Wanderers,36,12,9,15,35,49,-14,45
12,13,Crystal Palace,36,12,8,16,40,61,-21,44
13,14,Southampton,36,12,7,17,47,63,-16,43
14,15,Burnley,36,10,9,17,33,51,-18,39
15,16,Newcastle United,36,10,9,17,43,62,-19,39
16,17,Brighton and Hove Albion,36,8,14,14,37,42,-5,38
17,18,Fulham,36,5,12,19,26,50,-24,27
18,19,West Bromwich Albion,36,5,11,20,33,70,-37,26
19,20,Sheffield United,36,6,2,28,19,62,-43,20
